scenario,fips,pr_pipc_2015,pr_pipc_2020,pr_pipc_2025,pr_pipc_2030,pr_pipc_2035,pr_pipc_2040,pr_pipc_2045,pr_pipc_2050,pr_pipc_2055,pr_pipc_2060,pr_pipc_2065,pr_pipc_2070
SSP3,48107,38.987,40.798,42.706,45.061,47.557,50.272,52.734,55.632,58.229,61.392,64.183,66.800
SSP3,48109,30.048,31.588,33.226,35.328,37.582,40.065,42.304,44.988,47.380,50.348,52.951,55.390
SSP3,48111,41.032,43.428,45.775,48.470,51.243,54.195,56.864,59.951,62.721,66.048,68.991,71.753
SSP3,48113,44.553,46.291,48.031,50.136,52.329,54.747,56.975,59.673,62.112,65.136,67.794,70.341
SSP3,48115,32.068,33.971,35.835,38.068,40.398,42.926,45.190,47.889,50.289,53.264,55.870,58.310
SSP3,48117,33.880,35.397,36.910,38.819,40.847,43.092,45.089,47.536,49.697,52.443,54.832,57.066
SSP3,48119,30.384,32.492,34.520,36.895,39.353,41.999,44.375,47.180,49.681,52.750,55.447,57.975
SSP3,48121,41.978,43.907,45.813,48.082,50.453,53.065,55.446,58.282,60.828,63.932,66.684,69.288
SSP3,48123,35.636,37.779,39.932,42.485,45.147,48.006,50.597,53.614,56.320,59.588,62.475,65.185
SSP3,48125,29.020,31.059,33.053,35.409,37.857,40.494,42.862,45.660,48.154,51.217,53.907,56.428
SSP3,48127,29.274,31.078,32.990,35.367,37.894,40.647,43.148,46.087,48.723,51.926,54.756,57.411
SSP3,48129,36.191,38.501,40.767,43.382,46.078,48.953,51.550,54.567,57.269,60.532,63.413,66.116
SSP3,48131,32.614,34.481,36.449,38.880,41.458,44.257,46.803,49.784,52.461,55.702,58.567,61.257
SSP3,48133,48.380,49.942,51.884,54.479,57.321,60.435,63.318,66.641,69.657,73.230,76.414,79.410
SSP3,48135,35.651,37.568,39.514,41.871,44.344,47.019,49.434,52.281,54.826,57.940,60.678,63.248
SSP3,48137,31.281,33.221,35.201,37.594,40.105,42.824,45.280,48.169,50.754,53.905,56.683,59.287
SSP3,48139,34.877,36.736,38.586,40.821,43.187,45.811,48.202,51.054,53.614,56.736,59.517,62.135
SSP3,48141,30.198,31.919,33.634,35.734,37.933,40.327,42.481,45.075,47.383,50.272,52.781,55.144
SSP3,48143,32.127,34.443,36.635,39.136,41.698,44.430,46.882,49.755,52.319,55.447,58.199,60.778
SSP3,48145,29.593,31.560,33.511,35.843,38.281,40.923,43.303,46.117,48.629,51.709,54.420,56.961
SSP3,48147,30.344,32.330,34.244,36.505,38.858,41.419,43.722,46.469,48.919,51.942,54.610,57.115
SSP3,48149,39.755,42.050,44.333,46.999,49.762,52.716,55.396,58.496,61.282,64.624,67.584,70.363
SSP3,48151,36.781,38.730,40.746,43.195,45.773,48.561,51.088,54.047,56.700,59.917,62.757,65.422
SSP3,48153,38.830,40.600,42.462,44.776,47.232,49.907,52.331,55.191,57.752,60.882,63.639,66.224
SSP3,48155,32.242,34.428,36.516,38.930,41.415,44.078,46.465,49.277,51.783,54.856,57.556,60.085
SSP3,48157,46.787,48.849,50.971,53.508,56.170,59.069,61.729,64.831,67.627,70.970,73.939,76.745
SSP3,48159,34.745,36.993,39.200,41.765,44.417,47.255,49.817,52.802,55.476,58.711,61.566,64.245
SSP3,48161,32.820,34.744,36.679,39.012,41.457,44.107,46.497,49.321,51.844,54.935,57.656,60.206
SSP3,48163,26.958,28.844,30.727,33.003,35.390,37.980,40.309,43.073,45.536,48.571,51.236,53.732
SSP3,48165,30.796,32.820,34.782,37.089,39.479,42.057,44.366,47.105,49.542,52.550,55.188,57.658
SSP3,48167,42.650,44.398,46.267,48.604,51.114,53.906,56.478,59.517,62.263,65.569,68.527,71.320
SSP3,48169,32.402,34.333,36.250,38.555,40.965,43.575,45.922,48.702,51.180,54.229,56.907,59.416
SSP3,48171,45.757,47.880,50.147,52.890,55.780,58.884,61.723,64.986,67.932,71.432,74.542,77.465
SSP3,48173,49.036,50.814,52.875,55.493,58.304,61.357,64.161,67.397,70.322,73.804,76.899,79.808
SSP3,48175,31.686,34.039,36.282,38.838,41.457,44.248,46.757,49.685,52.302,55.481,58.282,60.908
SSP3,48177,33.539,35.691,37.810,40.295,42.872,45.641,48.140,51.064,53.680,56.860,59.664,62.294
SSP3,48179,38.447,40.566,42.669,45.145,47.715,50.476,52.965,55.879,58.485,61.656,64.449,67.068
SSP3,48181,33.751,35.653,37.495,39.692,41.987,44.502,46.769,49.488,51.916,54.919,57.575,60.075
SSP3,48183,42.384,44.539,46.728,49.327,52.039,54.952,57.599,60.671,63.433,66.754,69.693,72.454
SSP3,48185,31.029,32.996,34.959,37.313,39.778,42.456,44.874,47.730,50.286,53.408,56.165,58.753
SSP3,48187,37.474,39.314,41.209,43.528,45.983,48.674,51.121,54.014,56.610,59.770,62.569,65.201
SSP3,48189,30.423,32.376,34.243,36.446,38.732,41.209,43.422,46.069,48.419,51.343,53.902,56.298
SSP3,48191,32.385,34.553,36.636,39.063,41.571,44.262,46.680,49.525,52.063,55.168,57.898,60.457
SSP3,48193,35.903,38.079,40.243,42.790,45.434,48.271,50.836,53.826,56.504,59.744,62.605,65.288
SSP3,48195,43.307,45.159,47.050,49.340,51.745,54.356,56.707,59.493,61.979,65.036,67.722,70.238
SSP3,48197,34.624,36.681,38.721,41.144,43.669,46.389,48.842,51.724,54.300,57.443,60.210,62.804
SSP3,48199,37.468,39.520,41.608,44.110,46.731,49.559,52.123,55.116,57.802,61.049,63.918,66.611
SSP3,48201,46.682,48.176,49.736,51.687,53.703,55.892,57.918,60.399,62.638,65.476,67.895,70.239
SSP3,48203,40.320,42.252,44.316,46.858,49.553,52.471,55.134,58.229,61.016,64.362,67.328,70.114
SSP3,48205,40.871,43.078,45.197,47.651,50.180,52.891,55.326,58.186,60.738,63.857,66.600,69.170
SSP3,48207,34.051,36.091,38.096,40.462,42.921,45.570,47.952,50.762,53.269,56.344,59.047,61.579
SSP3,48209,33.458,35.508,37.522,39.898,42.370,45.047,47.465,50.319,52.873,55.992,58.745,61.333
SSP3,48211,53.458,55.511,57.783,60.587,63.566,66.773,69.720,73.091,76.144,79.748,82.958,85.977
SSP3,48213,33.543,35.687,37.783,40.236,42.778,45.514,47.982,50.879,53.470,56.624,59.405,62.015
SSP3,48215,23.690,25.443,27.145,29.199,31.329,33.642,35.707,38.207,40.416,43.203,45.607,47.867
SSP3,48217,32.970,34.809,36.669,38.935,41.322,43.924,46.270,49.056,51.543,54.600,57.290,59.812
SSP3,48219,37.889,39.796,41.771,44.187,46.738,49.506,52.016,54.961,57.601,60.807,63.637,66.292
SSP3,48221,40.717,42.708,44.736,47.175,49.730,52.492,54.992,57.923,60.548,63.737,66.551,69.191
SSP3,48223,33.382,35.623,37.782,40.277,42.849,45.602,48.079,50.980,53.572,56.728,59.507,62.114
SSP3,48225,30.398,32.666,34.803,37.251,39.763,42.451,44.863,47.699,50.228,53.322,56.044,58.594
SSP3,48227,32.593,34.523,36.409,38.659,41.005,43.546,45.822,48.533,50.944,53.928,56.543,58.992
SSP3,48229,29.169,30.867,32.633,34.845,37.202,39.790,42.131,44.917,47.407,50.467,53.164,55.693
SSP3,48231,33.173,35.227,37.214,39.546,41.968,44.594,46.961,49.769,52.279,55.359,58.082,60.641
